airport,categoryenglish,categoryHindi,titleEnglish,titleHindi,descriptionEnglish,descriptionHindi,email,phone,website,last_updated
Chennai,"Parking and Transportation","पार्किंग और परिवहन","Fast Track Car Rental services",,"Car Rental Services",,mohanraj@fasttrackcalltaxi.in,9841050290,,2024-10-14
Mumbai,"Parking and Transportation","पार्किंग और परिवहन","AIRPORT CAB SERVICES",,"Prepaid & Cool Cab Services",,,8879275239,,2024-10-14
Mumbai,"Parking and Transportation","पार्किंग और परिवहन","TAB CAB SERVICES",,"TAB CAB Services",,,7738891598,,2024-10-14
Mumbai,"Parking and Transportation","पार्किंग और परिवहन","SHREE SAI CAR RENTAL SERVICES",,"Car Rental Services",,,9819791320,,2024-10-14
Bengaluru,"Parking and Transportation","पार्किंग और परिवहन","AIRPORT SHUTTLE SERVICE - VAYU VAJRA",,"The city shuttle service is the most comfortable and affordable way to travel to and from our airport. Known as Vayu Vajra, this is a fleet of air-conditioned Volvo buses connecting the airport to different corners of Bengaluru",,ctmobmtc@gmail.com,08022952522,http://www.mybmtc.com/,2024-10-14
Indore,"Parking and Transportation","पार्किंग और परिवहन","OLA CAB",,"Type of facility:GROUND TRANSPORT FACILITY

Terminal : INTEGRATED

Area : ARRIVAL

SERVICES OFFERED :CAB SERVICES FOR PASSENGERS",,,9340158807,,2024-10-14
Delhi,"Special Assistance Services","विशेष सहायता सेवाएँ",INDIGO,,"Wheelchairs are provided by Indigo Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.",,,8800770057,,2024-10-14
Delhi,"Special Assistance Services","विशेष सहायता सेवाएँ","BRITISH AIRWAYS",,"Wheelchairs are provided by British Airways Ground handling from their counters at visitors lobby located near Entry gate 1 & 8 at Departures.",,,01161238304,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","BRITISH AIRWAYS",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","THAI AIRWAYS",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Bengaluru,"Special Assistance Services","विशेष सहायता सेवाएँ","MALINDO AIR",,"If you are a passenger with reduce mobility, you may avail of the wheel chair assistance service at our airport. We have a dedicated drop-off point at the kerbside ( opposite departure gates 1 - 4 ) The airline staff will receive you at the earmarked zone and assist you till you board your flight. An airline calling facility has also been installed at the drop-off point to ease your travel in case you are seeking service after you reach the Airport.",,feedback@bialairport.com,08066787656,,2024-10-14
Kolkata,"Special Assistance Services","विशेष सहायता सेवाएँ","Baggage reclaim",,"State of the art Baggage conveyor belts are available in the Domestic & International arrivals for facilitating quick and safe handling of Baggage. There are ten Baggage conveyor belts in Domestic and six belts in International which are in operation.",,,,,2024-10-14
Kolkata,"Special Assistance Services","विशेष सहायता सेवाएँ","Airline ticket counter",,"Ticketing counters of various airlines are available at departure level. Passengers & visitors can access these counters through city side. One ‘Taj India Tours’ ticketing counter is available in Departure level of International Terminal which can be accessed through city side as well.",,,,,2024-10-14
Kolkata,"Special Assistance Services","विशेष सहायता सेवाएँ","Special needs",,"You can place a request to your airline for a wheelchair while booking your tickets or you can also contact the airline ticketing counter after reaching the airport and request for it. 
At Kolkata Airport, we have made:
• Ramps available for seamless movement of wheelchairs. 
• Braille symbols and auditory signals are provided in the lifts for visually impaired.
• Disabled friendly toilets are available. 
• Ambulift services are available on payment basis.",,,,,2024-10-14
